fID,eID,fID_x,fID_y,Trees,max_depth,fID_x,fID_y,Hidden layer neurons,Solver,Activation fn,Max_Iterations,Tolerance,fID_x,K,weights,algorithm,fID_y,Dask Used,Preprocessing Technique,Classifier,Rows,Columns,Classes,Accuracy,F1 Score_1,Precision_1,Recall_1,F1 Score,Precision,Recall,time
51d170bf-4964-4990-b3b1-6cb4310b1e4a,99d2c933-df26-41df-bd27-0ec037cc995c,,,,,,,,,,,,,,,,51d170bf-4964-4990-b3b1-6cb4310b1e4a,False,None,ABC,1000,21,2,0.72,0.807692308,0.790322581,0.825842697,0.807692308,0.790322581,0.825842697,0.10418204699999999
9621f2ff-fbbb-4d3f-9007-4d7693d998ea,c72bfb9a-ae17-459a-8fc5-4f49532cdb37,,,,,,,,,,,,,,,,9621f2ff-fbbb-4d3f-9007-4d7693d998ea,False,None,ABC,3468,971,2,0.847750865,0.8447058820000001,0.8650602409999999,0.8252873559999999,0.8447058820000001,0.8650602409999999,0.8252873559999999,3.505622343
622f51f0-b52e-433c-a51c-de7463629a14,03de2430-abcf-4c37-9c6a-8006c3867f44,,,,,,,,,,,,,,,,622f51f0-b52e-433c-a51c-de7463629a14,False,None,ABC,1109,22,2,0.9172661870000001,0.303030303,0.5555555560000001,0.208333333,0.303030303,0.5555555560000001,0.208333333,0.12063868300000001
592d3861-42e9-4735-b81a-d01ae6b70dd1,663e9102-7683-4446-a71b-baacf090c445,,,,,,,,,,,,,,,,592d3861-42e9-4735-b81a-d01ae6b70dd1,False,None,ABC,2109,22,2,0.848484848,0.298245614,0.607142857,0.197674419,0.298245614,0.607142857,0.197674419,0.143020347
bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,db560856-79c4-4952-8528-368059976ce3,,,,,,,,,,,,,,,,bd2f8a11-0ad8-4944-b259-f031bb8fcd4d,False,None,ABC,15545,6,2,0.9431438129999999,0.9594867090000001,0.9293323859999999,0.9916635090000001,0.9594867090000001,0.9293323859999999,0.9916635090000001,0.414391599
04bd2751-cd1d-4b93-8c39-38dac2829f62,79cf958d-6831-48a0-be6f-b4c17a06439d,,,,,,,,,,,,,,,,04bd2751-cd1d-4b93-8c39-38dac2829f62,False,None,ABC,1563,38,2,0.890025575,0.245614035,0.36842105299999994,0.184210526,0.245614035,0.36842105299999994,0.184210526,0.17346049800000002
41512d79-272e-479e-9d04-f2763dd95914,5d947d68-15eb-42c1-b356-cebf314f57a1,,,,,,,,,,,,,,,,41512d79-272e-479e-9d04-f2763dd95914,False,None,ABC,10218,8,10,0.184344423,0.184344423,0.184344423,0.184344423,0.168444807,0.243654855,0.177857259,0.365495835
47184717-32ec-4c50-af43-85af303ff777,ac97cce5-c05b-493c-b370-66d99f3c9819,,,,,,,,,,,,,,,,47184717-32ec-4c50-af43-85af303ff777,False,None,ABC,19020,12,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.023658147
40aef813-403b-4b02-8a14-68ea1b36f2d5,0d893b55-271d-4c45-ac13-69ab3736ce4d,,,,,,,,,,,,,,,,40aef813-403b-4b02-8a14-68ea1b36f2d5,False,None,ABC,1458,38,2,0.912328767,0.627906977,0.818181818,0.509433962,0.627906977,0.818181818,0.509433962,0.163506804
c0ef222f-e486-4261-b928-d0defa3d27a3,6c7405d6-9852-49a0-b101-f39662b3b2f4,,,,,,,,,,,,,,,,c0ef222f-e486-4261-b928-d0defa3d27a3,False,None,ABC,522,22,2,0.778625954,0.431372549,0.47826087,0.39285714299999996,0.431372549,0.47826087,0.39285714299999996,0.090770435
